MP name,Nature of membership,Start of term,End of term,State,Constituency,Political party,Alliance,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,Education Coefficient,MP Rating
Bijoy Krishna Handique,Elected,18-May-09,In office,Assam,Jorhat,Indian National Congress,UPA,Male,Post Graduate,"M.A.; Educated at Calcutta University, Calcutta (West Bengal) ",77,0,0,1,0.9,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,7.9,0.3,28,81%,75,2
Bijoya Chakravarty,Elected,18-May-09,In office,Assam,Gauhati,Bharatiya Janata Party,NDA,Female,Post Graduate,"M.A. (English); Educated at Guwahati University, Guwahati, Assam and Banaras Hindu University, Varanasi (Uttar Pradesh) ",72,30,4,43,0.86," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,75,3
Biren Singh Engti,Elected,18-May-09,In office,Assam,Autonomous District,Indian National Congress,UPA,Male,Post Graduate,"M.A., LL.B.; Educated at Guwahati University, Assam",67,1,0,0,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,75,2
Bishnu Pada Ray,Elected,18-May-09,In office,Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bharatiya Janata Party,NDA,Male,Graduate,"B.Com. (Hons.); Educated at Andamohan College, Calcutta, West Bengal",62,68,1,169,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,68,1,169,76%,60,3.15
Brij Bhushan Sharan Singh,Elected,18-May-09,In office,Uttar Pradesh,Kaiserganj,Samajwadi Party,UPA,Male,Post Graduate,"M.A., LL.B.; Educated at Saket Mahavidyalay, Avadh University, Faizabad (Uttar Pradesh) ",55,19,0,155,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,2.95
C. L. Ruala,Elected,18-May-09,In office,Mizoram,Mizoram,Indian National Congress,UPA,Male,Post Graduate,"B.A., B.T.; Educated at St. Edmund`s college Shillong, Gauhati University",76,2,0,10,0.97," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,2,0,10,97%,75,2.25
C. M. Chang,Elected,18-May-09,In office,Nagaland,Nagaland,Nagaland Peoples Front,UPA,Male,Graduate,"B.A; Educated at High School, Mokochung, Nagaland and St. Edmund`s College Shillong, Guwahati University",69,1,0,32,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,1,0,32,92%,60,2.05
C. R. Patil,Elected,18-May-09,In office,Gujarat,Navsari,Bharatiya Janata Party,NDA,Male,Diploma Course,"I.T.I; Educated at Industrial Training Institute, Surat",57,18,2,307,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,45,2.85
C. Rajendran,Elected,18-May-09,In office,Tamil Nadu,Chennai South,All India Anna Dravida Munnetra Kazhagam,,Male,Graduate,"B.A., B.L.; Educated at Madras Law College",52,30,0,242,0.71," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,60,2.52
C. Sivasami,Elected,18-May-09,In office,Tamil Nadu,Tiruppur,All India Anna Dravida Munnetra Kazhagam,,Male,Post Graduate,M.A.; Madurai Kamraj University (Tamil Nadu) ,55,47,0,455,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,75,3.22
Chandra Sekhar Kalva Kuntla Rao,Elected,18-May-09,In office,Andhra Pradesh,Mahabubnagar,Telangana Rashtra Samithi,NDA,Male,Post Graduate,"M.A. (Litt); Educated at Osmania University, Hyderabad, Andhra Pradesh",58,2,0,0,0.1,"Complete attendance for this MP is not available (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,75,1
Chandrakant Bhaurao Khaire,Elected,18-May-09,In office,Maharashtra,Aurangabad,Shiv Sena,NDA,Male,Graduate,"B.Sc. (1st Year), Diploma in Personnel Management; Educated at Marathawada University, Aurangabad, Maharashtra",60,31,1,533,0.7," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.12
Chandresh Kumari Katoch,Elected,18-May-09,In office,Rajasthan,Jodhpur,Indian National Congress,UPA,Female,Under Graduate,"Educated at Nazrath Convent School, St. Mary`s School, Puna, St. Hildas School, Ooty Educated at St. Hildas-Ooty",68,5,0,41,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,20,1.53
Chandu Lal Sahu,Elected,18-May-09,In office,Chhattisgarh,Mahasamund,Bharatiya Janata Party,NDA,Male,Graduate,"B.Com., LL.B.; Educated at Rajiv Lochan College, Rajim and; Durga College, Raipur",53,12,0,57,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,60,2
Charan Das Mahant,Elected,18-May-09,In office,Chhattisgarh,Korba,Indian National Congress,UPA,Male,Doctorate,"M.Sc., M.A., LL.B., Ph.D.; Educated at Motilal Vigyan Mahavidhyalay, Bhopal University and Barkatulla University, Bhopal (Madhya Pradesh) ",57,15,0,132,0.93,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,77%,5.8,0.3,55,64%,90,2.7
Charles Dias,Nominated,18-Sep-09,In office,,,Indian National Congress,UPA,Male,Doctorate,"M.A., Ph.D, Diploma in Office Management, Diploma in Personnel Management and Diploma in Labour Law; Educated at University of Calicut and Annamalai University",62,51,0,71,0.99," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",24.8,0.5,198,77%,31.6,0,99,90%,90,3.57
Chaudhary Lal Singh,Elected,18-May-09,In office,Jammu and Kashmir,Udhampur,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Government Degree College, Kathua,; Jammu and Kashmir",53,71,0,218,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,35.4,0,84,89%,60,3.42
Chinta Mohan,Elected,18-May-09,In office,Andhra Pradesh,Tirupati,Indian National Congress,UPA,Male,Graduate,"M.B.B.S; Educated at Srivenkateswara Medical College, Tirupati (Andhra Pradesh) ",57,3,0,18,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,15.2,0.4,257,70%,60,1.62
D.B. Chandre Gowda,Elected,18-May-09,In office,Karnataka,Bangalore North,Bharatiya Janata Party,NDA,Male,Post Graduate,"B.Sc, LL.B., Educated at Mudigere High School, Intermediate College Chikmagalur, Renukacharya College, Bangalore and R. L. Law College, Belgaum",76,7,0,482,0.61," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,75,2.17
D.V. Sadananda Gowda,Elected,18-May-09,29-12-2011,Karnataka,Udupi Chikmagalur,Bharatiya Janata Party,NDA,Male,Graduate,"B.Sc., L.L.B.; Educated at St. Phelomena College, Puttur, Dakshina Kannada, Karnataka and Vaikunta Baliga Law Collge, Udupi",59,17,0,72,0.42," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",21.1,0.4,163,77%,9.9,0.2,181,70%,60,1.25
Danapal Venugopal,Elected,18-May-09,In office,Tamil Nadu,Tiruvannamalai,Dravida Munnetra Kazhagam,UPA,Male,Under Graduate,"Educated at Danish Mission High School, Tiruvannamalai, Tamil Nadu",80,24,0,5,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,20,1.25
Dara Singh Chauhan,Elected,18-May-09,In office,Uttar Pradesh,Ghosi,Bahujan Samaj Party,UPA,Male,Graduate,,49,99,0,81,0.92," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,3.23
Darshana Vikram Jardosh,Elected,18-May-09,In office,Gujarat,Surat,Bharatiya Janata Party,NDA,Female,Graduate,"B.Com.; Educated at K.P. College of Commerce, Surat, Certificate Course in Computer from NIIT",51,44,0,212,0.9," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,30.1,1,276,80%,60,3.22
Datta Raghobaji Meghe,Elected,18-May-09,In office,Maharashtra,Wardha,Indian National Congress,UPA,Male,Graduate,"B.A.; Educated at Nagpur University, Nagpur (Maharashtra) ",75,47,0,222,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.22
Davidson J. Helen,Elected,18-May-09,In office,Tamil Nadu,Kanniyakumari,Dravida Munnetra Kazhagam,UPA,Female,Post Graduate,"M.Sc. (Math), B.Ed; Manomanian Sundaranar University and Annamalai University",41,28,0,104,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,75,2.72
Dayanidhi Maran,Elected,18-May-09,In office,Tamil Nadu,Chennai Central,Dravida Munnetra Kazhagam,UPA,Male,Graduate,"B.A. (Economics); Educated at Loyola College, Chennai (Tamil Nadu) ",45,0,0,0,0.7,"This MP was a Minister. He tendered his resignation on 12th July, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 13th July, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,16.8,0.2,121,73%,60,1.37
Deepa Dashmunsi,Elected,18-May-09,In office,West Bengal,Raiganj,Indian National Congress,UPA,Female,Post Graduate,"M.A. (Dramatics); Educated at Rabindra Bharati University, West Bengal",51,9,0,328,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.8,135,72%,75,2.48
Deepender Singh Hooda,Elected,18-May-09,In office,Haryana,Rohtak,Indian National Congress,UPA,Male,Post Graduate,"B.Tech., M.B.A.; Educated at University at Birla Institute, M.D. University, Rohtak (Haryana) and Kelley School of Business, Indiana University, Bloomington, USA",34,15,1,74,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,8.7,0.1,149,69%,75,2.37
Deoraj Singh Patel,Elected,18-May-09,In office,Madhya Pradesh,Rewa,Bahujan Samaj Party,UPA,Male,Post Graduate,"M.A., LL.B.; Educated at Avadesh Pratap Singh University, Rewa, Madhya Pradesh",43,6,0,79,0.87," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.5,0.1,174,83%,75,2.37
Devendra Nagpal,Elected,18-May-09,In office,Uttar Pradesh,Amroha,Rashtriya Lok Dal,UPA,Male,Graduate,"Educated at KGK College, Moradabad, Uttar Pradesh",41,9,0,36,0.54," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,1.05
Devidhan Besra,Elected,18-May-09,In office,Jharkhand,Rajmahal,Bharatiya Janata Party,NDA,Male,Under Graduate,"Educated at Paligram Vidya Mandir, Birbhum",72,2,0,0,0.68," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,25.9,0.8,185,65%,20,1.1
Devji Patel,Elected,18-May-09,In office,Rajasthan,Jalore,Bharatiya Janata Party,NDA,Male,Under Graduate,,35,72,0,283,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,20,3.08
Dhananjay Singh,Elected,18-May-09,In office,Uttar Pradesh,Jaunpur,Bahujan Samaj Party,UPA,Male,Post Graduate,M.A.(Political Science),37,32,0,152,0.65," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,2.4
Dharmendra Yadav,Elected,18-May-09,In office,Uttar Pradesh,Badaun,Samajwadi Party,UPA,Male,Post Graduate,"M.A., L.L.B.; Educated at Allahabad University, Allahabad, Uttar Pradesh",33,18,0,601,0.76," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,75,2.82
Dhruva Narayana Rangaswamy,Elected,18-May-09,In office,Karnataka,Chamrajanagar,Indian National Congress,UPA,Male,Post Graduate,"M.Sc. (Agriculture); Educated at University of Agricultural Sciences, Bangalore",51,50,0,418,0.8," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,14.4,0.2,243,70%,75,3.67
Digvijay Singh,Elected,18-May-09,24-06-2010,Bihar,Banka,Independent,Others,Male,Post Graduate,"M.A., M. Phil.; Educated at Patna University, Patna and Jawaharlal Nehru University, New Delhi and Tokyo University (Japan) ",56,2,0,0,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",8.7,0.2,62,77%,10.9,0.2,64,87%,75,1.75
Dilip Kumar Mansukhlal Gandhi,Elected,18-May-09,In office,Maharashtra,Ahmednagar,Bharatiya Janata Party,NDA,Male,Under Graduate,"S.S.C.; Educated at Pune University, Pune (Maharashtra)",61,24,0,171,0.67," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,2.05
Dilip Singh Ju Dev,Elected,18-May-09,In office,Chhattisgarh,Bilaspur,Bharatiya Janata Party,NDA,Male,Post Graduate,"B.A., LL.B. (Pt. II); Educated at Mayo College, Ajmer, Raj Kumar College, Raipur, ST. Xavier College, Ranchi, Chhotanagpur Law College, Ranchi",70,2,0,189,0.62," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,9.6,0.3,120,64%,75,1.8
Dimple Yadav,Elected,09-Jun-12,In office,Uttar Pradesh,Kannauj,Samajwadi Party,UPA,Female,Graduate,Graduation in humanities from Lucknow University,34,0,0,0,0.5," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",1.1,0.1,19,77%,1.2,0,17,80%,60,0.87
Dinesh Chandra Yadav,Elected,18-May-09,In office,Bihar,Khagaria,Janata Dal (United),NDA,Male,Diploma Course,"D.C.E. (Civil), I.A.; Educated at Government Polytechnic, Saharsa and C.M. Science College, Madhipura, Bihar",62,35,0,311,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.8,0.5,235,87%,45,3.27
Dinesh Kashyap,Elected,13-May-11,In office,Chhattisgarh,Bastar,Bharatiya Janata Party,NDA,Male,Under Graduate,,42,0,0,6,0.53," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.6,0.2,95,77%,3.8,0,65,64%,20,0.6
Dinesh Trivedi,Elected,18-May-09,In office,West Bengal,Barrackpur,All India Trinamool Congress,UPA,Male,Post Graduate,M.B.A.,62,0,0,0,0.55,"This MP was a Minister. He tendered his resignation on 18th March, 2011. Ministers represent the government in debates, so we do not report their participation. Participation and attendance details for this MP are thus available only from 19th March, 2012 (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",6.8,0.2,48,77%,6.9,0.1,28,72%,75,1
Dip Gogoi,Elected,18-May-09,In office,Assam,Kaliabor,Indian National Congress,UPA,Male,Graduate,B.Sc.,60,0,0,0,0.79," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,16.2,0.5,59,81%,60,1.62
Dudhgaonkar Ganeshrao Nagorao,Elected,18-May-09,In office,Maharashtra,Parbhani,Shiv Sena,NDA,Male,Graduate,"B.A., LL.B.",66,37,0,291,0.89," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,60,3.4
Dushyant Singh,Elected,18-May-09,In office,Rajasthan,Jhalawar-Baran,Bharatiya Janata Party,NDA,Male,Post Graduate,"B.A. , M.B.A. (Hotel Administration) and P.G. Diploma in Hotel Operations; Educated at Doon School, Dehradun,; St. Stephen`s College, Delhi, Johnson and Wales University, Providence, RI, USA and IHTTI School of Mangaement, Neuchatel, Switzerland, ",38,24,0,304,0.78," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,37.1,0.8,207,88%,75,2.88
E. T. Mohammed Basheer,Elected,18-May-09,In office,Kerala,Ponnani,Muslim League Kerala State Committee,UPA,Male,Under Graduate,,66,45,0,135,0.77," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,50.6,1.1,299,84%,20,2.52
E.G. Sugavanam,Elected,18-May-09,In office,Tamil Nadu,Krisnagiri,Dravida Munnetra Kazhagam,UPA,Male,Diploma Course,"Diploma in Pharmacy; Educated at K.L.E. Society, Nijalingappa College, Bangalore",54,17,0,614,0.57," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,34.2,0.2,261,73%,45,1.85
Eknath Mahadeo Gaikwad,Elected,18-May-09,In office,Maharashtra,Mumbai-South-Central,Indian National Congress,UPA,Male,Under Graduate,,72,7,0,724,0.98," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,21,1.2,354,74%,20,2.77
Feroze Varun Gandhi,Elected,18-May-09,In office,Uttar Pradesh,Pilibhit,Bharatiya Janata Party,NDA,Male,Graduate,"B.Sc. (Economics); educated at London School of Economics (LSE), London University, UK.",32,2,1,499,0.7," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,77%,33.3,0.4,178,80%,60,2.52
